idx,theta1_0,theta2_0,omega1_0,omega2_0
0,1.721317,-0.384038,2.151588,1.184208
1,-2.549859,2.988423,1.566838,1.716386
2,-2.336631,-0.311734,-0.775212,2.560590
3,0.903931,2.027971,-0.339515,-1.636568
4,0.342966,-2.740617,1.965787,0.789986
5,1.621613,-0.914040,2.824188,2.358727
6,1.749135,-1.918642,-0.199674,-2.737177
7,-2.172163,1.150130,1.468573,2.805058
8,-1.094372,-0.813926,-0.182665,-1.863172
9,-2.325272,-0.152650,-1.638544,1.018884
10,-0.394886,2.090279,1.201591,-1.125800
11,2.087650,1.914891,-0.675130,-1.270031
12,1.146653,-2.263502,-1.800551,-2.955826
13,1.802799,1.035788,1.230992,1.684374
14,-0.258140,0.431914,-2.161218,-2.312820
15,1.058107,-0.181608,0.391417,1.589993
16,0.846460,0.336649,0.355243,-1.176299
17,-2.947958,-0.397616,-1.712492,-0.548828
18,2.220497,-1.671708,-2.650184,-1.311697
19,-1.296889,1.017351,0.342193,1.703389
20,1.032412,-0.588189,1.884122,-1.998162
21,-2.998888,-2.575805,1.334156,-0.228737
22,-2.128292,0.006565,-2.086127,1.177922
23,-0.338310,-0.747566,-1.190927,0.781696
24,-0.868257,-2.590872,-2.291965,2.771386
25,2.567188,1.254797,-1.404780,2.815058
26,1.751444,1.362761,-0.303831,-1.366551
27,-2.535950,2.529625,-0.265342,-1.785820
28,-1.219210,0.497751,-1.939363,2.139686
29,1.624326,1.378926,-0.407442,0.763853
