idx,theta1_0,theta2_0,omega1_0,omega2_0
0,1.721317,-0.384038,2.151588,1.184208
1,-2.549859,2.988423,1.566838,1.716386
2,-2.336631,-0.311734,-0.775212,2.560590
3,0.903931,2.027971,-0.339515,-1.636568
4,0.342966,-2.740617,1.965787,0.789986
5,1.621613,-0.914040,2.824188,2.358727
6,1.749135,-1.918642,-0.199674,-2.737177
7,-2.172163,1.150130,1.468573,2.805058
8,-1.094372,-0.813926,-0.182665,-1.863172
9,-2.325272,-0.152650,-1.638544,1.018884
10,-0.394886,2.090279,1.201591,-1.125800
11,2.087650,1.914891,-0.675130,-1.270031
12,1.146653,-2.263502,-1.800551,-2.955826
13,1.802799,1.035788,1.230992,1.684374
14,-0.258140,0.431914,-2.161218,-2.312820
15,1.058107,-0.181608,0.391417,1.589993
16,0.846460,0.336649,0.355243,-1.176299
17,-2.947958,-0.397616,-1.712492,-0.548828
18,2.220497,-1.671708,-2.650184,-1.311697
19,-1.296889,1.017351,0.342193,1.703389
20,1.032412,-0.588189,1.884122,-1.998162
21,-2.998888,-2.575805,1.334156,-0.228737
22,-2.128292,0.006565,-2.086127,1.177922
23,-0.338310,-0.747566,-1.190927,0.781696
24,-0.868257,-2.590872,-2.291965,2.771386
25,2.567188,1.254797,-1.404780,2.815058
26,1.751444,1.362761,-0.303831,-1.366551
27,-2.535950,2.529625,-0.265342,-1.785820
28,-1.219210,0.497751,-1.939363,2.139686
29,1.624326,1.378926,-0.407442,0.763853
30,0.528403,0.941514,-2.493334,-0.505156
31,-2.880123,-0.037757,-1.020833,-2.132855
32,-2.491893,0.550687,-1.976442,2.550721
33,0.509322,-0.962145,0.545493,-2.863177
34,2.881213,-0.111191,1.696411,-2.503620
35,-0.083828,-0.058390,2.626959,0.430368
36,-0.166571,-1.464135,-1.010586,0.124034
37,-0.383831,-3.005800,1.957752,2.376965
38,-2.260382,0.339519,-2.348546,1.033441
39,-1.374549,1.001682,1.361968,1.611885
40,-2.464636,2.613880,-1.618716,-2.775525
41,0.344648,-0.811019,1.978738,1.849509
42,-1.148950,2.845651,-1.254493,0.090343
43,-1.533317,2.739743,-2.012353,-2.730536
44,-0.407797,3.093687,2.350064,1.491648
45,2.455422,2.472098,0.113150,-1.104426
46,1.709105,1.015748,-0.758054,-2.433200
47,1.550625,-1.492505,2.620879,-1.554177
48,-2.370282,2.080442,-2.080294,-1.924390
49,0.624440,2.353443,-1.821392,-1.138058
